question,question_ordinal
Emergency department visit rate for chronic obstructive pulmonary disease as first-listed diagnosis,50
Fair or poor health among adults aged >= 18 years with arthritis,51
Fair or poor self-rated health status among adults aged >= 18 years,52
Farmers markets that accept Women and Infant Children (WIC) farmers market nutrition program coupons,53
"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",54
Folic acid supplementation,55
Foot examination among adults aged >= 18 years with diagnosed diabetes,56
Gini Index of income inequality,57
Glycosylated hemoglobin measurement among adults aged >= 18 years with diagnosed diabetes,58
Healthy weight among adults aged >= 18 years,59
Healthy weight among high school students,60
Heavy drinking among adults aged >= 18 years,61
Heavy drinking among women aged 18-44 years,62
High cholesterol prevalence among adults aged >= 18 years,63
High school completion among adults aged 18-24 years,64
Hospitalization for acute myocardial infarction,65
Hospitalization for chronic obstructive pulmonary disease as any diagnosis,66
Hospitalization for chronic obstructive pulmonary disease as any diagnosis among Medicare-eligible persons aged >= 65 years,67
Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis,68
Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,69
Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,70
Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,71
Hospitalization for stroke,72
Hospitalization with diabetes as a listed diagnosis,73
Hospitalizations for asthma,74
Incidence of treated end-stage renal disease,75
Incidence of treated end-stage renal disease attributed to diabetes,76
Influenza vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease or stroke,77
Influenza vaccination among noninstitutionalized adults aged 18-64 years with asthma,78
Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,79
Influenza vaccination among noninstitutionalized adults aged >= 18 years,80
Influenza vaccination among noninstitutionalized adults aged >= 45 years with chronic obstructive pulmonary disease,81
Influenza vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease or stroke,82
Influenza vaccination among noninstitutionalized adults aged >= 65 years with asthma,83
Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,84
"Invasive cancer (all sites combined), incidence",85
"Invasive cancer (all sites combined), mortality",86
"Invasive cancer of the cervix, incidence",87
"Invasive cancer of the female breast, incidence",88
"Invasive cancer of the oral cavity or pharynx, incidence",89
"Invasive cancer of the prostate, incidence",90
"Invasive melanoma, incidence",91
Life expectancy at age 65 years,92
Life expectancy at birth,93
Live births occurring at Baby Friendly Facilities,94
Local authority to regulate alcohol outlet density,95
Mammography use among women aged 50-74 years,96
Mean maternity practices in infant nutrition care (mPINC) score,97
Median daily frequency of fruit consumption among adults aged >= 18 years,98
Median daily frequency of fruit consumption among high school students,99
Median daily frequency of vegetable consumption among adults aged >= 18 years,100
Median daily frequency of vegetable consumption among high school students,101
Meeting aerobic physical activity guidelines among high school students,102
Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,103
Meeting aerobic physical activity guidelines for substantial health benefits among adults aged >= 18 years,104
Meeting aerobic physical activity guidelines for substantial health benefits and for muscle-strengthening activity among adults aged >= 18 years,105
"Melanoma, mortality",106
Mortality due to diabetes reported as any listed cause of death,107
Mortality from cerebrovascular disease (stroke),108
Mortality from coronary heart disease,109
Mortality from diseases of the heart,110
Mortality from heart failure,111
Mortality from total cardiovascular diseases,112
Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,113
Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,114
Mortality with diabetic ketoacidosis reported as any listed cause of death,115
Mortality with end-stage renal disease,116
No leisure-time physical activity among adults aged >= 18 years,117
No tooth loss among adults aged 18-64 years,118
"Number of farmers markets per 100,000 residents",119
Obesity among adults aged >= 18 years,120
Obesity among high school students,121
Oral health services at Federally Qualified Health Centers,122
Overweight or obesity among adults aged >= 18 years,123
Overweight or obesity among high school students,124
Overweight or obesity among women aged 18-44 years,125
Papanicolaou smear use among adult women aged 21-65 years,126
Participation in daily school physical education classes among high school students,127
Per capita alcohol consumption among persons aged >= 14 years,128
Physical inactivity among adults aged >= 18 years with arthritis,129
Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years who smoke,130
Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease,131
Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma,132
Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,133
Pneumococcal vaccination among noninstitutionalized adults aged >= 45 years with chronic obstructive pulmonary disease,134
Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years who smoke,135
Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease,136
Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with asthma,137
Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,138
Population served by community water systems that receive fluoridated drinking water,139
Postpartum checkup,140
Poverty,141
Poverty among women aged 18-44 years,142
Premature mortality among adults aged 45-64 years,143
Presence of regulations pertaining to screen time in early care and education settings,144
Presence of regulations pertaining to serving fruit in early care and education settings,145
Presence of regulations pertaining to serving vegetables in early care and education settings,146
Prevalence of 2 or more chronic conditions among Medicare-enrolled persons aged >= 65 years,147
Prevalence of activity limitation among adults >= 18 with diagnosed chronic obstructive pulmonary disease,148
Prevalence of activity limitation among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,149
Prevalence of chronic kidney disease among adults aged >= 18 years,150
Prevalence of chronic obstructive pulmonary disease among adults >= 18,151
Prevalence of chronic obstructive pulmonary disease among adults >= 45 years,152
Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease,153
Prevalence of current smoking among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,154
Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes,155
Prevalence of diagnosed diabetes among adults aged >= 18 years,156
Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,157
Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,158
Prevalence of sufficient sleep among adults aged >= 18 years,159
Preventive dental care before pregnancy,160
Preventive dental visits among children and adolescents aged 1-17 years,161
Proportion of older adults aged 50-64 years who are up to date on a core set of clinical preventive services,162
Proportion of older adults aged >= 65 years who are up to date on a core set of clinical preventive services,163
"Proportion of the population protected by a comprehensive smoke-free policy prohibiting smoking in all indoor areas of workplaces and public places, including restaurants and bars",164
Quit attempts in the past year among current smokers,165
Receiving formula supplementation within the first 2 days of life among breastfed infants,166
Recent Papanicolaou smear use among women aged 21-44 years,167
Recent activity limitation among adults aged >= 18 years,168
Recent mentally unhealthy days among adults aged >= 18 years,169
Recent physically unhealthy days among adults aged >= 18 years,170
Sale of cigarette packs,171
Secondary schools that allow community-sponsored use of physical activity facilities by youth outside of normal school hours,172
Secondary schools that allow students to purchase soda or fruit drinks,173
Secondary schools that have a comprehensive tobacco-free school policy in place,174
Secondary schools that offer less healthy foods as competitive foods,175
Self-rated health status among women aged 18-44 years,176
Severe joint pain due to arthritis among adults aged >= 18 years who have doctor-diagnosed arthritis,177
Six or more teeth lost among adults aged >= 65 years,178
Soda consumption among high school students,179
States that allow stronger local tobacco control and prevention laws,180
States with strong polices that require retail licenses to sell tobacco products,181
Taking medicine for high blood pressure control among adults aged >= 18 years with high blood pressure,182
Television viewing among high school students,183
Timeliness of routine health care checkup among women aged 18-44 years,184
Visits to dentist or dental clinic among adults aged >= 18 years,185
Visits to dentist or dental clinic among adults aged >= 18 years with diagnosed diabetes,186
Work limitation due to arthritis among adults aged 18-64 years who have doctor-diagnosed arthritis,187
